Year,Population,Men,Women
1970,130000,65000,65000
1971,121577,60164,61413
1972,117230,57551,59679
1973,114571,55919,58652
1974,118504,57683,60821
1975,121815,59195,62620
1976,117639,56773,60866
1977,115407,55419,59988
1978,114040,54479,59561
1979,117677,56134,61543
1980,120847,57623,63224
1981,118227,55995,62232
1982,117056,55144,61912
1983,116475,54629,61846
1984,120012,56191,63821
1985,122883,57465,65418
1986,121509,56650,64859
1987,120686,56090,64596
1988,120587,55837,64750
1989,124123,57438,66685
1990,127358,58836,68522
1991,126659,58285,68374
1992,126784,58141,68643
1993,127497,58269,69228
1994,131336,59957,71379
1995,134982,61513,73469
1996,135079,61315,73764
1997,135818,61438,74380
1998,137277,61986,75291
1999,141355,63833,77522
2000,144956,65447,79509
